Requestor GPN,EmployeeStatusDesc,Country,Designation,Badge Type,Badge Status,Domain,Sub Domain,Key-Badge_SD,Badge Classification,Badge earned,Department,Initiate a badge date,Time Lapse
GPN 10021,Active,Country 3,Rank 9,Bronze,Approved,Emerging Technology,Robotic process automation,Robotic process automationBronze,TECHNOLOGY,5/27/2019,SL 20,5/16/2019,11
GPN 10022,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data integration,Data integrationBronze,TECHNOLOGY,4/14/2020,SL 20,4/8/2020,6
GPN 10023,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,5/20/2020,SL 20,4/9/2020,41
GPN 10024,Active,Country 3,Rank 8,Bronze,Approved,Innovation,Agile,AgileBronze,BUSINESS,5/19/2020,SL 20,5/5/2020,14
GPN 10025,Active,Country 3,Rank 8,Silver,Approved,Analytics,Data visualization,Data visualizationSilver,TECHNOLOGY,6/30/2020,SL 20,5/20/2020,41
GPN 10026,Active,Country 3,Rank 8,Bronze,Approved,Innovation,Design thinking,Design thinkingBronze,BUSINESS,6/4/2020,SL 20,6/1/2020,3
GPN 10027,Active,Country 3,Rank 8,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,3/16/2018,SL 20,3/14/2018,2
GPN 10028,Active,Country 3,Rank 8,Bronze,Approved,Analytics,Data integration,Data integrationBronze,TECHNOLOGY,3/16/2018,SL 20,3/14/2018,2
GPN 10029,Active,Country 3,Rank 9,Bronze,Approved,Innovation,Agile,AgileBronze,BUSINESS,4/11/2020,SL 20,4/6/2020,5
GPN 1003,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,5/12/2020,SL 2,5/12/2020,0
GPN 10030,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,4/1/2020,SL 20,5/2/2019,335
GPN 10031,Active,Country 3,Rank 9,Silver,Approved,Analytics,Data visualization,Data visualizationSilver,TECHNOLOGY,1/8/2020,SL 20,11/12/2019,57
GPN 10032,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data integration,Data integrationBronze,TECHNOLOGY,6/2/2020,SL 20,1/30/2020,124
GPN 10033,Active,Country 3,Rank 9,Silver,Approved,Analytics,Data science,Data scienceSilver,TECHNOLOGY,3/24/2020,SL 20,3/11/2020,13
GPN 10034,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data architecture,Data architectureBronze,TECHNOLOGY,5/5/2020,SL 20,3/20/2020,46
GPN 10035,Active,Country 3,Rank 15,Bronze,Approved,Emerging Technology,Artificial intelligence,Artificial intelligenceBronze,TECHNOLOGY,8/21/2019,SL 7,5/30/2019,83
GPN 10036,Active,Country 3,Rank 15,Bronze,Approved,Innovation,Agile,AgileBronze,BUSINESS,6/30/2020,SL 26,4/26/2020,65
GPN 10037,Active,Country 3,Rank 8,Bronze,Approved,Cybersecurity,Cybersecurity,CybersecurityBronze,TECHNOLOGY,5/2/2020,SL 20,1/7/2020,116
GPN 10038,Active,Country 3,Rank 8,Bronze,Approved,Analytics,Data integration,Data integrationBronze,TECHNOLOGY,5/13/2020,SL 26,3/4/2019,436
GPN 10039,Active,Country 3,Rank 8,Bronze,Approved,Emerging Technology,Blockchain,BlockchainBronze,TECHNOLOGY,3/30/2020,SL 20,1/30/2020,60
GPN 1004,Active,Country 3,Rank 13,Bronze,Approved,Cybersecurity,Cybersecurity,CybersecurityBronze,TECHNOLOGY,6/29/2020,SL 13,6/9/2020,20
GPN 10040,Active,Country 3,Rank 8,Bronze,Approved,Sector,Insurance,InsuranceBronze,BUSINESS,5/8/2020,SL 20,2/5/2020,93
GPN 10041,Active,Country 3,Rank 9,Bronze,Approved,Innovation,Design thinking,Design thinkingBronze,BUSINESS,5/18/2020,SL 26,3/10/2020,69
GPN 10042,Active,Country 3,Rank 8,Bronze,Approved,Emerging Technology,Robotic process automation,Robotic process automationBronze,TECHNOLOGY,4/22/2020,SL 20,12/6/2019,138
GPN 10043,Active,Country 3,Rank 8,Bronze,Approved,Digital,Digital,DigitalBronze,BUSINESS,2/10/2020,SL 20,1/29/2020,12
GPN 10044,Active,Country 1,Rank 8,Bronze,Approved,Digital age teaming,Transformational leadership,Transformational leadershipBronze,LEADERSHIP,2/14/2020,SL 26,5/20/2019,270
GPN 10045,Active,Country 3,Rank 9,Bronze,Approved,Innovation,Agile,AgileBronze,BUSINESS,4/16/2020,SL 26,3/8/2020,39
GPN 10046,Active,Country 3,Rank 9,Bronze,Approved,Sector,BCM - Corporate & Commercial Banking,BCM - Corporate & Commercial BankingBronze,BUSINESS,11/21/2019,SL 20,11/13/2019,8
GPN 10047,Active,Country 3,Rank 8,Bronze,Approved,Innovation,Agile,AgileBronze,BUSINESS,3/26/2020,SL 20,3/25/2020,1
GPN 10048,Active,Country 1,Rank 15,Bronze,Approved,Transformative leadership,Teaming,TeamingBronze,LEADERSHIP,6/26/2020,SL 24,4/29/2020,58
GPN 10049,Active,Country 4,Rank 8,Bronze,Approved,Cybersecurity,Cybersecurity,CybersecurityBronze,TECHNOLOGY,5/31/2019,SL 20,5/24/2019,7
GPN 1005,Active,Country 3,Rank 9,Bronze,Approved,Innovation,Agile,AgileBronze,BUSINESS,4/9/2020,SL 20,4/3/2020,6
GPN 10050,Active,Country 4,Rank 8,Bronze,Approved,Transformative leadership,Inspiring,InspiringBronze,LEADERSHIP,3/17/2020,SL 20,2/17/2020,29
GPN 10051,Active,Country 4,Rank 8,Bronze,Approved,Cybersecurity,Cybersecurity,CybersecurityBronze,TECHNOLOGY,6/1/2020,SL 20,4/16/2020,46
GPN 10052,Active,Country 1,Rank 9,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,6/3/2020,SL 26,2/6/2020,118
GPN 10053,Active,Country 1,Rank 9,Silver,Approved,Analytics,Data visualization,Data visualizationSilver,TECHNOLOGY,7/8/2020,SL 26,4/22/2020,77
GPN 10054,Active,Country 3,Rank 7,Bronze,Approved,Sector,TMT - Technology,TMT - TechnologyBronze,BUSINESS,5/8/2020,SL 20,4/18/2020,20
GPN 10055,Active,Country 3,Rank 7,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,5/4/2020,SL 26,11/27/2019,159
GPN 10056,Active,Country 3,Rank 8,Bronze,Approved,Cybersecurity,Cybersecurity,CybersecurityBronze,TECHNOLOGY,5/20/2020,SL 20,12/3/2019,169
GPN 10057,Active,Country 3,Rank 8,Bronze,Approved,Innovation,Agile,AgileBronze,BUSINESS,7/10/2020,SL 20,12/10/2019,213
GPN 10058,Active,Country 3,Rank 6,Bronze,Approved,Innovation,Design thinking,Design thinkingBronze,BUSINESS,9/27/2018,SL 26,9/5/2018,22
GPN 10059,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,1/28/2020,SL 20,1/14/2020,14
GPN 1006,Active,Country 3,Rank 8,Bronze,Approved,Digital,Digital,DigitalBronze,BUSINESS,3/13/2019,SL 20,3/13/2019,0
GPN 10060,Active,Country 3,Rank 8,Bronze,Approved,Analytics,Data science,Data scienceBronze,TECHNOLOGY,2/12/2020,SL 20,12/18/2019,56
GPN 10061,Active,Country 3,Rank 7,Bronze,Approved,Innovation,Design thinking,Design thinkingBronze,BUSINESS,6/18/2019,SL 26,4/29/2019,50
GPN 10062,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data architecture,Data architectureBronze,TECHNOLOGY,4/30/2020,SL 20,4/29/2020,1
GPN 10063,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data architecture,Data architectureBronze,TECHNOLOGY,2/20/2020,SL 20,2/4/2020,16
GPN 10064,Active,Country 3,Rank 8,Bronze,Approved,Sector,TMT - Technology,TMT - TechnologyBronze,BUSINESS,5/7/2020,SL 20,4/14/2020,23
GPN 10065,Active,Country 3,Rank 8,Bronze,Approved,Analytics,Data science,Data scienceBronze,TECHNOLOGY,4/2/2020,SL 25,10/9/2019,176
GPN 10066,Active,Country 3,Rank 8,Bronze,Approved,Sector,BCM - Investment Banking & Capital Markets,BCM - Investment Banking & Capital MarketsBronze,BUSINESS,5/8/2020,SL 25,4/2/2020,36
GPN 10067,Active,Country 3,Rank 8,Bronze,Approved,Sector,Power & Utilities,Power & UtilitiesBronze,BUSINESS,5/11/2020,SL 25,5/3/2020,8
GPN 10068,Active,Country 3,Rank 15,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,3/30/2020,SL 15,3/30/2020,0
GPN 10069,Active,Country 3,Rank 8,Bronze,Approved,Sector,Life Sciences,Life SciencesBronze,BUSINESS,3/23/2020,SL 25,5/6/2019,322
GPN 1007,Active,Country 3,Rank 8,Bronze,Approved,Emerging Technology,Blockchain,BlockchainBronze,TECHNOLOGY,4/23/2020,SL 20,1/10/2020,104
GPN 10070,Active,Country 3,Rank 8,Bronze,Approved,Analytics,Data integration,Data integrationBronze,TECHNOLOGY,5/30/2019,SL 2,3/26/2019,65
GPN 10071,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,5/8/2020,SL 20,2/28/2020,70
GPN 10072,Active,Country 3,Rank 15,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,10/10/2018,SL 18,12/26/2017,288
GPN 10073,Active,Country 3,Rank 15,Silver,Approved,Emerging Technology,Robotic process automation,Robotic process automationSilver,TECHNOLOGY,6/11/2020,SL 18,4/1/2020,71
GPN 10074,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data integration,Data integrationBronze,TECHNOLOGY,2/28/2020,SL 20,3/15/2019,350
GPN 10075,Active,Country 3,Rank 9,Bronze,Approved,Sector,Insurance,InsuranceBronze,BUSINESS,3/4/2020,SL 20,2/27/2020,6
GPN 10076,Active,Country 3,Rank 13,Bronze,Approved,Digital,Digital,DigitalBronze,BUSINESS,3/12/2020,SL 8,2/19/2020,22
GPN 10077,Active,Country 3,Rank 13,Bronze,Approved,Innovation,Design thinking,Design thinkingBronze,BUSINESS,2/19/2020,SL 8,2/19/2020,0
GPN 10078,Active,Country 3,Rank 14,Bronze,Approved,Innovation,Agile,AgileBronze,BUSINESS,5/6/2020,SL 18,3/19/2020,48
GPN 10079,Active,Country 3,Rank 8,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,4/20/2020,SL 25,4/14/2020,6
GPN 1008,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,6/26/2020,SL 26,4/17/2020,70
GPN 10080,Active,Country 3,Rank 9,Bronze,Approved,Emerging Technology,Blockchain,BlockchainBronze,TECHNOLOGY,11/27/2019,SL 20,3/1/2019,271
GPN 10081,Active,Country 3,Rank 9,Bronze,Approved,Sector,Oil & Gas,Oil & GasBronze,BUSINESS,4/17/2020,SL 20,12/6/2019,133
GPN 10082,Active,Country 3,Rank 8,Bronze,Approved,Transformative leadership,Teaming,TeamingBronze,LEADERSHIP,6/22/2020,SL 26,6/17/2020,5
GPN 10083,Active,Country 3,Rank 14,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,1/13/2020,SL 8,1/2/2020,11
GPN 10084,Active,Country 3,Rank 14,Bronze,Approved,Analytics,Data science,Data scienceBronze,TECHNOLOGY,1/13/2020,SL 8,1/2/2020,11
GPN 10085,Active,Country 3,Rank 8,Bronze,Approved,Emerging Technology,Blockchain,BlockchainBronze,TECHNOLOGY,4/16/2020,SL 20,4/3/2020,13
GPN 10086,Active,Country 3,Rank 8,Bronze,Approved,Analytics,Data architecture,Data architectureBronze,TECHNOLOGY,10/14/2019,SL 20,3/28/2019,200
GPN 10087,Active,Country 3,Rank 8,Bronze,Approved,Analytics,Data science,Data scienceBronze,TECHNOLOGY,6/7/2019,SL 20,4/17/2019,51
GPN 10088,Active,Country 3,Rank 8,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,4/14/2020,SL 20,2/7/2020,67
GPN 10089,Active,Country 3,Rank 8,Bronze,Approved,Innovation,Design thinking,Design thinkingBronze,BUSINESS,6/10/2020,SL 20,1/10/2020,152
GPN 1009,Active,Country 3,Rank 9,Bronze,Approved,Sector,WAM - Alternative asset management,WAM - Alternative asset managementBronze,BUSINESS,6/19/2020,SL 2,5/12/2020,38
GPN 10090,Active,Country 3,Rank 8,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,2/3/2020,SL 20,12/19/2019,46
GPN 10091,Active,Country 3,Rank 9,Bronze,Approved,Sector,Insurance,InsuranceBronze,BUSINESS,3/9/2020,SL 20,11/5/2019,125
GPN 10092,Active,Country 3,Rank 9,Bronze,Approved,Sector,BCM - Investment Banking & Capital Markets,BCM - Investment Banking & Capital MarketsBronze,BUSINESS,4/6/2020,SL 20,3/27/2020,10
GPN 10093,Active,Country 3,Rank 14,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,5/4/2020,SL 6,12/17/2019,139
GPN 10094,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,4/9/2020,SL 20,3/17/2020,23
GPN 10095,Active,Country 3,Rank 9,Bronze,Approved,Transformative leadership,Teaming,TeamingBronze,LEADERSHIP,6/23/2020,SL 26,4/14/2020,70
GPN 10096,Active,Country 3,Rank 8,Bronze,Approved,Emerging Technology,Artificial intelligence,Artificial intelligenceBronze,TECHNOLOGY,4/22/2020,SL 20,4/20/2020,2
GPN 10097,Active,Country 3,Rank 9,Bronze,Approved,Innovation,Design thinking,Design thinkingBronze,BUSINESS,12/2/2019,SL 26,10/29/2019,34
GPN 10098,Active,Country 3,Rank 9,Bronze,Approved,Cybersecurity,Cybersecurity,CybersecurityBronze,TECHNOLOGY,5/12/2020,SL 20,3/23/2020,50
GPN 10099,Active,Country 3,Rank 9,Bronze,Approved,Cybersecurity,Cybersecurity,CybersecurityBronze,TECHNOLOGY,5/18/2020,SL 20,3/20/2020,59
GPN 101,Active,Country 3,Rank 13,Bronze,Approved,Transformative leadership,Inclusion and Belonging,Inclusion and BelongingBronze,LEADERSHIP,5/7/2020,SL 24,5/4/2020,3
GPN 1010,Active,Country 3,Rank 8,Bronze,Approved,Innovation,Design thinking,Design thinkingBronze,BUSINESS,2/11/2020,SL 20,1/15/2020,27
GPN 10100,Active,Country 3,Rank 9,Bronze,Approved,Emerging Technology,Robotic process automation,Robotic process automationBronze,TECHNOLOGY,7/7/2020,SL 20,6/2/2020,35
GPN 10101,Active,Country 3,Rank 15,Bronze,Approved,Analytics,Data integration,Data integrationBronze,TECHNOLOGY,4/30/2020,SL 9,4/29/2020,1
GPN 10102,Active,Country 3,Rank 8,Bronze,Approved,Sector,BCM - Corporate & Commercial Banking,BCM - Corporate & Commercial BankingBronze,BUSINESS,4/13/2020,SL 20,8/26/2019,231
GPN 10103,Active,Country 3,Rank 8,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,2/13/2019,SL 25,1/31/2019,13
GPN 10104,Active,Country 3,Rank 8,Bronze,Approved,Sector,Government & Public Sector,Government & Public SectorBronze,BUSINESS,4/13/2020,SL 25,4/5/2020,8
GPN 10105,Active,Country 3,Rank 8,Bronze,Approved,Digital,Digital,DigitalBronze,BUSINESS,4/22/2019,SL 26,4/12/2019,10
GPN 10106,Active,Country 3,Rank 8,Silver,Approved,Digital,Digital,DigitalSilver,BUSINESS,7/1/2020,SL 26,1/30/2020,153
GPN 10107,Active,Country 3,Rank 9,Bronze,Approved,Emerging Technology,Robotic process automation,Robotic process automationBronze,TECHNOLOGY,4/26/2019,SL 26,4/25/2019,1
GPN 10108,Active,Country 3,Rank 8,Bronze,Approved,Emerging Technology,Robotic process automation,Robotic process automationBronze,TECHNOLOGY,2/9/2018,SL 20,2/2/2018,7
GPN 10109,Active,Country 3,Rank 14,Bronze,Approved,Innovation,Design thinking,Design thinkingBronze,BUSINESS,4/2/2020,SL 15,11/25/2019,129
GPN 1011,Active,Country 3,Rank 8,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,5/13/2020,SL 20,4/24/2020,19
GPN 10110,Terminated,Country 3,Rank 9,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,7/3/2018,SL 20,6/28/2018,5
GPN 10111,Terminated,Country 3,Rank 9,Bronze,Approved,Emerging Technology,Blockchain,BlockchainBronze,TECHNOLOGY,5/7/2019,SL 20,4/1/2019,36
GPN 10112,Active,Country 3,Rank 8,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,6/16/2020,SL 26,5/27/2020,20
GPN 10113,Active,Country 3,Rank 7,Bronze,Approved,Analytics,Data science,Data scienceBronze,TECHNOLOGY,5/25/2020,SL 20,3/22/2019,430
GPN 10114,Active,Country 3,Rank 9,Bronze,Approved,Sector,"Real Estate, Hospitality & Construction","Real Estate, Hospitality & ConstructionBronze",BUSINESS,5/8/2020,SL 20,4/25/2020,13
GPN 10115,Active,Country 3,Rank 8,Bronze,Approved,Analytics,Information strategy,Information strategyBronze,TECHNOLOGY,5/19/2020,SL 20,3/18/2020,62
GPN 10116,Active,Country 3,Rank 7,Bronze,Approved,Analytics,Data integration,Data integrationBronze,TECHNOLOGY,2/11/2020,SL 2,4/22/2019,295
GPN 10117,Active,Country 3,Rank 7,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,6/8/2020,SL 2,5/19/2020,20
GPN 10118,Active,Country 3,Rank 7,Bronze,Approved,Analytics,Data science,Data scienceBronze,TECHNOLOGY,5/23/2019,SL 25,5/23/2019,0
GPN 10119,Active,Country 3,Rank 8,Bronze,Approved,Digital,Digital,DigitalBronze,BUSINESS,6/19/2020,SL 20,6/11/2020,8
GPN 1012,Terminated,Country 3,Rank 8,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,5/17/2018,SL 2,5/16/2018,1
GPN 10120,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data integration,Data integrationBronze,TECHNOLOGY,3/22/2019,SL 20,3/6/2019,16
GPN 10121,Active,Country 3,Rank 8,Bronze,Approved,Analytics,Data science,Data scienceBronze,TECHNOLOGY,5/2/2019,SL 25,4/1/2019,31
GPN 10122,Active,Country 3,Rank 8,Gold,Approved,Emerging Technology,Artificial intelligence,Artificial intelligenceGold,TECHNOLOGY,9/6/2018,SL 20,5/18/2018,111
GPN 10123,Active,Country 3,Rank 8,Bronze,Approved,Analytics,Data science,Data scienceBronze,TECHNOLOGY,8/6/2018,SL 20,8/6/2018,0
GPN 10124,Active,Country 3,Rank 8,Silver,Approved,Analytics,Data science,Data scienceSilver,TECHNOLOGY,3/24/2020,SL 20,8/30/2018,572
GPN 10125,Active,Country 3,Rank 8,Bronze,Approved,Emerging Technology,Artificial intelligence,Artificial intelligenceBronze,TECHNOLOGY,3/16/2018,SL 20,2/20/2018,24
GPN 10126,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data science,Data scienceBronze,TECHNOLOGY,5/8/2020,SL 20,4/3/2020,35
GPN 10127,Active,Country 3,Rank 9,Bronze,Approved,Sector,WAM - Financial products,WAM - Financial productsBronze,BUSINESS,1/22/2020,SL 20,9/26/2019,118
GPN 10128,Terminated,Country 3,Rank 15,Bronze,Approved,Analytics,Data science,Data scienceBronze,TECHNOLOGY,4/27/2018,SL 8,1/3/2018,114
GPN 10129,Active,Country 3,Rank 9,Bronze,Approved,Innovation,Agile,AgileBronze,BUSINESS,3/27/2020,SL 20,3/25/2020,2
GPN 1013,Active,Country 3,Rank 9,Bronze,Approved,Emerging Technology,Robotic process automation,Robotic process automationBronze,TECHNOLOGY,6/26/2020,SL 3,6/26/2020,0
GPN 10130,Active,Country 3,Rank 9,Bronze,Approved,Cybersecurity,Cybersecurity,CybersecurityBronze,TECHNOLOGY,1/30/2020,SL 20,2/5/2019,359
GPN 10131,Terminated,Country 3,Rank 8,Bronze,Approved,Emerging Technology,Robotic process automation,Robotic process automationBronze,TECHNOLOGY,3/21/2019,SL 26,3/8/2019,13
GPN 10132,Terminated,Country 5,Rank 8,Bronze,Approved,Cybersecurity,Cybersecurity,CybersecurityBronze,TECHNOLOGY,4/8/2019,SL 20,4/4/2019,4
GPN 10133,Active,Country 5,Rank 8,Bronze,Approved,Cybersecurity,Cybersecurity,CybersecurityBronze,TECHNOLOGY,4/16/2019,SL 20,4/8/2019,8
GPN 10134,Active,Country 5,Rank 7,Bronze,Approved,Innovation,Design thinking,Design thinkingBronze,BUSINESS,4/27/2020,SL 20,4/14/2020,13
GPN 10135,Active,Country 3,Rank 1,Bronze,Approved,Transformative leadership,Teaming,TeamingBronze,LEADERSHIP,7/10/2020,SL 15,4/23/2020,78
GPN 10136,Active,Country 3,Rank 9,Bronze,Approved,Innovation,Agile,AgileBronze,BUSINESS,6/9/2020,SL 20,6/1/2020,8
GPN 10137,Active,Country 3,Rank 8,Bronze,Approved,Innovation,Agile,AgileBronze,BUSINESS,4/23/2020,SL 20,4/1/2020,22
GPN 10138,Active,Country 5,Rank 9,Bronze,Approved,Emerging Technology,Robotic process automation,Robotic process automationBronze,TECHNOLOGY,6/23/2020,SL 20,6/23/2020,0
GPN 10139,Active,Country 3,Rank 9,Bronze,Approved,Emerging Technology,Blockchain,BlockchainBronze,TECHNOLOGY,4/30/2019,SL 20,2/19/2019,70
GPN 1014,Active,Country 3,Rank 15,Bronze,Approved,Innovation,Design thinking,Design thinkingBronze,BUSINESS,5/6/2020,SL 17,4/15/2020,21
GPN 10140,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data science,Data scienceBronze,TECHNOLOGY,3/25/2020,SL 20,1/31/2020,54
GPN 10141,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data visualization,Data visualizationBronze,TECHNOLOGY,4/7/2020,SL 26,12/3/2019,126
GPN 10142,Active,Country 3,Rank 8,Bronze,Approved,Cybersecurity,Cybersecurity,CybersecurityBronze,TECHNOLOGY,1/31/2020,SL 20,1/26/2020,5
GPN 10143,Active,Country 3,Rank 8,Bronze,Approved,Analytics,Data architecture,Data architectureBronze,TECHNOLOGY,5/6/2020,SL 20,3/17/2020,50
GPN 10144,Active,Country 3,Rank 9,Bronze,Approved,Emerging Technology,Artificial intelligence,Artificial intelligenceBronze,TECHNOLOGY,5/27/2019,SL 20,5/17/2019,10
GPN 10145,Active,Country 3,Rank 9,Bronze,Approved,Analytics,Data science,Data scienceBronze,TECHNOLOGY,11/22/2019,SL 20,9/18/2019,65
GPN 10146,Active,Country 3,Rank 9,Silver,Approved,Emerging Technology,Artificial intelligence,Artificial intelligenceSilver,TECHNOLOGY,6/24/2020,SL 20,3/14/2020,102
GPN 10147,Active,Country 5,Rank 9,Bronze,Approved,Innovation,Design thinking,Design thinkingBronze,BUSINESS,4/21/2020,SL 20,2/24/2020,57
GPN 10148,Active,Country 3,Rank 6,Gold,Approved,Analytics,Data visualization,Data visualizationGold,TECHNOLOGY,1/7/2020,SL 20,11/30/2017,768
